90,245
문231.6,$a한국문헌자동화목록법(KORMARC)에 관한 연구 : $b단행본용 기술규칙 / $d국립중앙도서관 [편]
문775,"$a(Oracle) 사물인터넷과 빅데이터 / $d이태현, $e이창영, $e한국오라클 김상현 외 5명 공저"
,"$aIFRS 중급회계 = $xIFRS intermediate accounting / $d신현걸, $e최창규, $e김현식 [공]저"
문170,"$aBIBLIA $b책을 담은 공간, 비블리아"
,"$a들꽃.$n1:,$pRE:BOOT / $d중앙대학교 문헌정보학과"
,"$a들꽃.$n1:,$pRE:BOOT / $d중앙대학교 문헌정보학과"
,"$a들꽃.$n1:,$pRE:BOOT / $d중앙대학교 문헌정보학과"
문511,$a정보서비스론. $n1 = $xINFORMATION SERVICES / $d박준식 [저]
,$a미디어 삼국지 : $b미디어 환경변화를 읽는 하나의 시각 / $d김영환 지음
,"$a컴퓨팅사고와 인공지능 리터러시 : $b이론과 실습 / $d김영민, $e이기성, $e이민정, $e전주현 지음"
,$a 응용확률론: $bFall 2022: $b 담당교수/ $d성병찬 [저]
,
,
,
,
,$aLongman active study dictionary
문090,$a문헌정보학사[제 2편 발췌본] : $b2012년 대한민국학술원 우수학술도서 / $d남태우 저 
문232,"$a정보자원의 기술과 메타데이터 = $xResource Description and Metadata / $d남태우, $e이승민 공저"
문090,$a문헌정보학사 : $b2012년 대한민국학술원 우수학술도서 / $d남태우 저
,$a개인주의의 역사
,
,$a산책을 듣는 시간 : $b정은 장편소설 / $d지은이: 정은
